term,meaning,type,latin,native,language
doxan,fertile,m,doshen,דּוֹשֶׁן,hebrew
dragan,dragon,o,,,english
dral,dry,m,,,english
draman,drama,o,,,
drav,candela (measurement),o,,,english
drenak,tuber (vegetable),o,drëna,درنه,arabic
drib,10^6,o,,,
drit,right (time),m,,,
drixum,proud,m,,धृषु,sanskrit
dromak,drum,o,,,english
dronam,crow (bird),o,,द्रोण,sanskrit
drup,d sound,o,,,
drus,induce,o,,,
druvan,stable,m,,ध्रुव,sanskrit
dub,asleep,m,,,
dud,during,m,,,
duk,suffer,a,,,
dulit,independent,a,dú lì,独立,chinese
dum,negative,m,,,
dumam,vapor,a,,धूम,sanskrit
dumil,boil,o,dumil,دمل,arabic
durdjan,malicious,m,,दुर्जन,sanskrit
durmat,silly,m,,दुर्मति,sanskrit
dutxil,navel,a,duqi,肚脐,chinese
duxiq,inert,m,duoxing,惰性,chinese
dwanyuk,phrase,o,duǎn yǔ,短语,chinese
dyanfen,starch,o,diàn fěn,淀粉,chinese
dyantik,elevator,o,diàn tī,电梯,chinese
dyanwak,phone,o,diàn huà,电话,chinese
dyanxiq,quintessential,m,diǎn xíng,典型,chinese
dyokan,portrait,a,dyokan,דְּיוֹקָן,hebrew
fab,include,o,,,
fabrik,fabric,o,,,english
fabyal,deliver,o,fābiǎo,发表,chinese
fac,reverse,m,,,
fald,field (quantum mechanics),m,field,,english
fadjal,radish (vegetable),m,al-fajal,الفجل,arabic
fakam,surge,a,lefa'(e)m,לְפַעֵם,hebrew
faked,command,a,lefak(e)d,לְפַקֵּד,hebrew
faktxul,repeal,o,feichu,废除,chinese
fakwan,penalty,a,fá kuǎn,罚款,chinese
fal,fill (-full),o,,,
falkan,falcon,o,,,english
falsoq,send,o,fasong,发送,chinese
fan,fine (good),m,,,english
fand,find,o,,,english
fandal,magnify,m,fangda,放大,chinese
fanik,pamper,o,lefan(e)k,לְפַנֵּק,hebrew
fant,fungus,m,fungus,,english
fantan,rebound,o,fǎntán,反弹,chinese
fanteq,writhe,o,fān téng,翻腾,chinese
fanwak,bustle,a,fán huá,繁华,chinese
fanwek,radius,o,fànwéi,范围,chinese
fanxiq,introspect,o,fǎnxǐng,反省,chinese
fanyin,translate,o,fanyi,翻译,chinese
faq,imitate,o,mofang,模仿,chinese
faqan,scheme,a,fāngàn,方案,chinese
faqbyan,handy,m,fāng biàn,方便,chinese
faqdud,demeanor,a,fengdu,风度,chinese
faqfap,method,a,fāng fǎ,方法,chinese
faqguk,foul,a,fanggui,犯规,chinese
faqmul,graze,o,fangmu,放牧,chinese
faqwen,access,a,fǎng wèn,访问,chinese
faqxaq,aroma,a,fāng xiāng,芳香,chinese
faqzik,deter,o,fángzhǐ,防止,chinese
far,far,o,,,english
farad,farad (measurement),o,,,english
faran,farenheit,o,,,english
faras,horse,o,farasi,,swahili
faret,elaborate,m,lefaR(e)t,לְפָרֵט,hebrew
farik,team,o,farīq,فَرِيق,arabic
farkis,squirm,a,lefaRk(e)s,לְפַרְכֵּס,hebrew
farpir,twitch,a,lefaRp(e)R,לְפַרְפֵּר,hebrew
farsek,peach,o,afarsék,אֲפַרְסֵק,hebrew
farsim,publish,a,lefaRs(e)m,לְפַרְסֵם,hebrew
farv,10^21,o,,,
fasad,corrupt,a,fasād,فَسَاد,arabic
faslam,bean (vegetable),o,fasulya,فاصوليا,arabic
fatah,assist,o,fatḥ,فَتَحَ,arabic
fatan,notice,o,fatana,فَطَنَ,arabic
fatar,mitigate,a,fattara,فَتَّر,arabic
fatir,dismiss,a,lefat(e)R,לְפַטֵּר,hebrew
fatot,tempt,a,lefat(o)t,לְפַתּוֹת,hebrew
fatzot,compensate,o,lefatz(o)t,לְפַצּוֹת,hebrew
fawek,bland,m,fá wèi,乏味,chinese
fax,flow,a,,,
faxeq,happen,o,fāshēng,发生,chinese
faxir,compromise,o,lefax(e)R,לְפַשֵּׁר,hebrew
faxpix,rummage,o,lefaxp(e)x,לְפַשְׁפֵּשׁ,hebrew
fayun,just (law),m,fǎyuàn,法院,chinese
fendul,struggle,a,fèndòu,奋斗,chinese
fenlaq,heft,a,fèn liàng,分量,chinese
fensan,diffract,o,fēnsàn,分散,chinese
fentxad,finch,a,,,english
fentxar,pastel,m,fěn cǎi,粉彩,chinese
fenup,wrath,o,fèn nù,愤怒,chinese
fenxip,analysis,m,fēnxī,分析,chinese
feqget,signature,o,fēnggé,风格,chinese
feqmin,honey,o,fengmi,蜂蜜,chinese
feqtxig,satire,o,fengci,讽刺,chinese
feqtxik,sardonic,m,fěng cì,讽刺,chinese
feqxan,risk,a,fēngxiǎn,风险,chinese
fer,fail,o,,,
fes,face,o,,,english
fet,eight,m,,,
fetxaq,extraordinary,m,fēicháng,非常,chinese
feyoq,tax,o,fèiyòng,费用,chinese
fezant,pheasant,a,,,english
fic,faith,o,,,
fiClat,violin,o,,fiðla,icelandic
fid,next,a,,,
fil,feel,o,,,engllish
filan,felidae,o,,,
fildan,field (math),o,,,english
filfil,pepper (vegetable),o,filfil,فِلْفِل,arabic
fim,female,o,,,
fin,belief in x,o,,,
finhup,incinerate,a,fenhua,焚化,chinese
fiqdug,poise,o,fengdu,风度,chinese
firar,escape,a,firār,فِرَار,arabic
fisiz,feces,o,,,
fit,right,m,,,
fitas,fetus,o,,,english
fitxir,fantastic,m,feichi,飞驰,chinese
fizik,physical,m,,,english
flam,fly (action),o,,,
flem,f sound,o,,,
flom,flow (speech utterance),o,,,
floran,flower,o,,,english
fluman,butterfly,o,,,
fon,machine,o,,,
fontan,fountain,o,,,english
for,for/supply,a,,,english
foran,promptly,m,faoran,فَوْرا,arabic
forCun,makeup,o,,förðun,icelandic
forer,crumble,a,lefoR(e)R,לְפוֹרֵר,hebrew
form,form,o,,,english
format,format,o,,,english
formik,ant (animal),o,,,latin
fos,force,o,,,english
fotan,photon,m,photon,,english
fraCam,teach,o,,fræða,icelandic
frak,fact,o,,,english
fraktal,fractal,o,,,english
freCin,frost,o,,freðinn,icelandic
fren,danish e vowel sound,o,,,
frend,friend,o,,,english
friCel,calm,o,,friðsæll,icelandic
fud,food,o,,,
fudjim,tag,o,fùjiā,附加,chinese
fuhem,consist,a,fúhé,符合,chinese
fuhil,compound,o,fuhe,复合,chinese
fuk,few,m,,,
fulip,buoyant,m,fú lì,浮力,chinese
fun,within (endo-),m,,,
fut,there,m,,,
futan,foot (measurement),o,,,english
fuwat,flashy,m,fú huá,浮华,chinese
fuwep,soothe,a,fǔ wèi,抚慰,chinese
fuyup,endow,a,fuyu,赋予,chinese
fuzap,complex,m,fùzá,复杂,chinese
fuzol,squint,a,lifz(o)l,לִפְזוֹל,hebrew
gaban,eyebrow,o,gaba,גַּבָּה,hebrew
gabil,knead,a,legab(e)l,לְגַבֵּל,hebrew
gac,regular,m,,,
gacar,affect,a,ʔaṯṯar,أثّر,arabic
gaCat,nutrition,o,ḡaḏḏā,غَذَّى,arabic
gaCim,magnificent,m,ʿaẓīm,عَظِيم,arabic
gad,god,o,,,english
