tune,english
xarad,scare
hakax,crooked
hamas,violence
betul,virgin
sakar,wages
zahar,warn
nadib,generous
habad,serve
yamaq,self-control
yogan,unity
viyog,separation
vedan,sense
vasun,habit
vadaq,theory
vataq,wind
tamas,inertia
tapas,ascetic
sunaq,merit
salok,verse
rixim,philosophy
dukam,suffering
karun,sympathy
kusal,wholesome
samut,convention
sikol,cycle
sutar,thread
tubal,brick
gatas,dive
kohal,alcohol
zabar,equation
goris,algorithm
fonoq,affliction
tahoq,way
ziran,spontaneous
rinad,cringe
radaf,pursue
katan,small
kadax,new
yaxan,old
gadol,big
raxav,wide
namux,low
gavok,high
sarat,scratch
kiken,danger
hemam,planet mercury
venus,planet venus
racan,planet jupiter
naned,black
maned,white
lifed,green
zoned,brown
rozed,purple
kited,orange
damed,red
naded,blue
soled,yellow
,economy
,yeast
,wrestler
,wombat
,wisteri
,wit
,wildebeest
,wildlife
,winery
,wif
,walnut
,waffle
,wagon
,vogue
,vodk
,vitamin
,visor
,vist
,violation
,vineyard
,vintage
,vibe
,vernacular
,venue
,velocity
,vegetarianism
,vegetation
,veal
,vanill
,vanity
,validity
,vampire
,vaccine
,vagrant
,valance
,valentine
,usher
,urgency
,urn
,typewriter
,ukulele
,ultimatum
,typeface
,font
,tuxed
,tweet
,tweezers
,twins
,twister
,twitter
,turban
,turf
,turmeric
,tripod
,trolley
,trigger
,tremor
,translation
,trance
,transcript
,tortill
,symptom
,succinct
,ruthless
,rhetoric
,psychedelic
,gusty
,frail
,feeble
,flagrant
,flaky
,flimsy
,axiomatic
,aquatic
,animate
,agonizing
,adhesive
,vibrant
,visionary
,versatile
,upscale
,thrill
,thrive
,terrific
,suave
,reputable
,rejoicing
,punctual
,prompt
,proactive
,pampered
,lawful
,inviolable
,humane
,feisty
,dumb
,diligent
,dextrous
,devout
,avid
,affluent
,callous
,horn
,capitalist
,chauvinist
,communist
,extremist
,fascist
,imperialist
,nationalist
,racist
,socialist
,surrealist
,font
