english       	ipa             	algorithm	human  	notes
mango         	ˈmæŋɡoʊ         	mazog    	magoq  	q(ng)->g preserve order q as filler
flower        	ˈflaʊər         	malor    	malor  	correct - split fl cluster
apple         	ˈæpəl           	mapor    	hapol  	h-prefix for vowel-initial preserve p-l
leaf          	liːf            	mifis    	lifit  	preserve l at C1 preserve f echo i-t
cedar         	ˈsiːdər         	midor    	sidar  	C1 must be s not m
elephant      	ˈɛləfənt        	nalaf    	lafan  	start from l (first consonant) not n
venus         	ˈviːnəs         	ninas    	vinas  	C1 must be v not n
panda         	ˈpændə          	panoz    	padan  	preserve p-a-n-d swap n-d for flow
spider        	ˈspaɪdər        	pedor    	pidor  	drop s from sp keep p-i-d-o-r
pumpkin       	ˈpʌmpkɪn        	pomiz    	pakin  	drop m from mp keep p-k-n
peach         	piːtʃ           	puxiq    	pitax  	tx->x preserve p-i-t-a-x
snake         	sneɪk           	senig    	senik  	sn cluster keep both s-e-n-i-k
thyme         	taɪm            	temiq    	camin  	θ->c not t: c-a-m-i-n
stem          	stɛm            	temis    	satem  	st->s(preferred) or t: s-a-t-e-m
tomato        	təˈmeɪtoʊ       	tomoz    	meton  	center on stressed ME syllable
turtle        	ˈtɜːɹtəl        	totes    	tutal  	raw candidate is correct (tutal=416) trie corrupts to totes
spice         	spaɪs           	pusiq    	pasik  	sp->p keep s at C3 end
wheat         	wiːt            	vitun    	witek  	w maps to w not v
chicken       	ˈtʃɪkɪn         	xikin    	xiken  	avoid same vowel i-i prefer i-e
sponge        	spʌndʒ          	punej    	sapaj  	keep sp as s+p across C1 C2 dj->j at C3
fork          	fɔːrk           	foram    	forak  	preserve all 3 consonants f-r-k
fern          	fɜːrn           	foran    	funan  	fu$n sounds like fun then neutral end
fruit         	fruːt           	forut    	futan  	fu$t sounds like fut then neutral end
faucet        	ˈfɔːsɪt         	fosig    	fasit  	f-a-s-i-t faithful order
ant           	ænt             	haniq    	hanat  	h-prefix a-n-a-t sounds closer to ant
hedgehog      	ˈhɛdʒhɔːɡ      	  hijor    	hijag  	capture beginning hi + end ag from ɔːɡ
cabinet       	ˈkæbɪnət        	kanov    	kabet  	2-syl with bn cluster: drop quiet n keep b then end t
moose         	muːs            	mesul    	musol  	m-u-s then echo o-l. trie corrupting C1
panda         	ˈpændə          	panor    	padal  	nd cluster: drop n keep d. p-a-d-a-l
virgo         	ˈvɜːrɡoʊ        	vorag    	vigoq  	user hears i from spelling. drop r keep g. trie corrupted vakum too
vacuum        	ˈvækjuːm        	vikum    	vakum  	raw candidate is correct trie corrupted C1 vowel
sheet         	ʃiːt            	xatut    	xitol  	raw xitat close but user wants softer l ending not t echo
spider        	ˈspaɪdər        	sapot    	pador  	sp split: p at C1 d-o-r from stressed part
scorpio       	ˈskɔːrpiˌoʊ     	sikup    	kopol  	sk: keep k at C1 p from middle o-l end
tiger         	ˈtaɪɡər         	tugor    	tigor  	aɪ diphthong -> i (glide part). g preserved
virgo         	ˈvɜːrɡoʊ        	vorub    	vogoq  	drop r keep g (more distinctive). ɜː->o
pan           	pæn             	puniq    	paniq  	æ->a not u. echo with q filler
root          	ruːt            	ratat    	rutor  	u preserved. echo r at C3
soap          	soʊp            	sapen    	sopat  	oʊ diphthong -> o. t is soft filler after p
tree          	tɹiː            	tanas    	tirin  	onset ɹ -> consonant r when only other consonant
spider        	ˈspaɪdəɹ        	sapun    	pador  	sp: p at C1 final ɹ -> r as C3
weasel        	ˈwiːzəl         	vizin    	wizal  	w must stay w. w->v is close but w preferred. trie needs C1-close variants
tomato        	təˈmeɪtoʊ       	temas    	tomat  	preserve final t. center on stressed syllable
zebra         	ˈzɛbɹə          	zibet    	zibar  	preserve b and r(from ɹ). split br cluster
bear          	bɛɹ             	bimus    	birak  	ɹ as onset -> keep as r. extend with a-k
iron          	ˈaɪəɹn          	hanus    	haron  	ɹ promoted to r. harin/harun close. h-prefix
eagle         	ˈiːɡəl          	hugas    	higal  	h-prefix. g-l preserved. raw higal=430
cabbage       	ˈkæbɪdʒ         	kabas    	kabaj  	dj->j preserved. trie swapped j->s (far)
clay          	kleɪ            	kalac    	kalec  	raw kalek close. c is close to k at C3
clock         	klɑːk           	kales    	kolak  	raw kalok/kolak. trie introduced random s
cloud         	klaʊd           	kalif    	kalod  	raw kalod=397 perfect. trie introduced random f
cactus        	ˈkæktəs         	kikal    	katus  	medial kt cluster: drop duplicate k pick t. katos/katus now top
copper        	ˈkɑːpəɹ         	kopes    	kopar  	raw kapir close. ɑː should be more o. final ɹ -> r
lobster       	ˈlɑːbstəɹ       	lason    	lator  	bst cluster: pick t (closest to next vowel) final ɹ -> r
melon         	ˈmɛlən          	males    	malon  	raw malon=385 perfect. trie corrupts
diesel        	ˈdiːzəl         	dazal    	dizal  	i not a for V1. keep z and l
dye           	daɪ             	deniq    	dalin  	aɪ diphthong. short word extend with l-i-n
fox           	fɑːks           	fakit    	fakis  	keep all 3 consonants f-k-s. s at C3 not t
stove         	stoʊv           	satig    	satov  	v is prominent C3. satof also ok (v->f close). satig wrong (v->g far)
venus         	ˈviːnəs         	venab    	vinas  	v-i-n-a-s faithful order trie corrupts
sheep         	ʃiːp            	xapet    	xipiq  	1-syl: reflect i in V2 use q filler
blanket       	ˈblæŋkɪt        	baliq    	lekat  	bl split: start from l (second in cluster) k-t preserved
bucket        	ˈbʌkɪt          	bakiq    	bakit  	preserve b-a-k-i-t faithfully
deer          	dɪr             	darus    	dirat  	preserve d-i-r then echo with a-t
drawer        	drɔːr           	doraf    	daror  	split dr: d-a-r echo r dont introduce new consonants
bridge        	bɹɪdʒ           	bital    	bidaj  	keep d and j separate not merged
bitumen       	bɪˈtuːmən       	bitiq    	bitun  	keep n from end not filler q
bitumen       	bɪˈtuːmən       	bitiq    	bituq  	q acceptable too
blizzard      	ˈblɪzəɹd        	bizaq    	bizad  	keep final d not filler q
brother       	ˈbɹʌðəɹ         	boCot    	boCor  	keep ð=C and final ɹ=r
birth         	bɜːɹθ           	bolec    	burac  	ɜːɹ -> u+r promoted. θ=c at C3
term          	tɜːɹm           	darim    	torim  	C1 must stay t not swap to d
trail         	tɹeɪl           	daron    	tiral  	C1 must stay t. onset ɹ -> r
train         	tɹeɪn           	darul    	toren  	C1 must stay t
desk          	dɛsk            	desal    	dekas  	keep k close to s. desak separates k too far
diagram       	ˈdaɪəɡɹæm       	digaq    	digam  	keep g and m from word
father        	ˈfɑːðəɹ         	fakit    	faCor  	keep C(ð) and r(ɹ). ð is rare keep it
grease        	ɡɹiːs           	geron    	goris  	1-syl: keep C1=g and C3=s. r in middle
grease        	ɡɹiːs           	geron    	giris  	also good
greave        	ɡɹiːv           	goraq    	giriv  	1-syl: keep C1=g and C3=v. r in middle
gorilla       	ɡəˈɹɪlə        	goran    	goral  	r and l preserved. close to raw giral
glacier       	ˈɡleɪʃəɹ        	gelon    	gexar  	gl split: g+l. x from ʃ. r from final ɹ
granite       	ˈɡɹænɪt         	genis    	ganit  	onset gr: g first. a vowel. n-i-t from ænɪt
grass         	ɡɹæs            	geral    	garas  	onset gr: g first. a from æ. r in middle. s at end
elephant      	ˈɛləfənt        	lifas    	lafan  	vowel-initial: start from l. f-a-n from fənt. NOT s at C3
phosphor      	ˈfɑːsfɔːɹ       	fisiq    	fasor  	raw fasor=389 correct. trie corrupts
fridge        	fɹɪdʒ           	foras    	firaj  	keep d+j separate. onset ɹ->r
fridge        	fɹɪdʒ           	foras    	fidaj  	also good. raw candidate fidaj=405
faucet        	ˈfɔːsɪt         	fosan    	fosit  	raw fosit=460 perfect. trie corrupts
factory       	ˈfæktəɹi        	fukin    	fator  	prefer t from stressed syllable onset
photon        	ˈfoʊtɒn         	futan    	fotan  	raw fotan=480 perfect. trie corrupts
glacier       	ˈɡleɪʃəɹ        	gelon    	gexar  	gl split: g+l. x from ʃ. r from final ɹ
granite       	ˈɡɹænɪt         	genis    	ganit  	onset gr: g first. a vowel. n-i-t from ænɪt
grass         	ɡɹæs            	geral    	garas  	onset gr: g first. a from æ. r in middle. s at end
