word,meaning,confidence,section,status,derivation
yas,self,"derived, strong","Self, other, awareness","legal, not picked",y self + a present + s experience-boundary. The
fas,other,"derived, strong","Self, other, awareness","legal, not picked",f beyond + a + s boundary. Experience beyond the
dub,aware,hand made,"Self, other, awareness",taken by aware,d formed + u inner + b being. The inner-formed being.
bud,awaken,hand made,"Self, other, awareness",taken by awake,b being + u depth + d emerge. The being rising from
dib,perfect,hand made,"Self, other, awareness",taken by connect,d defined + i complete + b manifest. Fully formed.
sol,soul,"derived, strong","Self, other, awareness",taken by soul,s experience + o whole + l thread. The whole
siv,perceive,"derived, strong",Cognition,taken by perceive,s experience + i clear + v vibe. Clearly
cik,think,"derived, strong",Cognition,"legal, not picked","c pierce, thought + i clear + k execute. The sharp"
vic,know,"derived, strong",Cognition,taken by bit,v experience + i clear + c thought. Clear experiential
pik,find,hand made,Cognition,taken by master,p pluck + i sharp + k grasp. Pick out.
puk,release,hand made,Cognition,"in system, free",p loosen + u + k let-go. Let go.
kip,tune,hand made,"Tune, tone, sound, voice, word",taken by tune,k make + i precise + p adjust. The fine adjustment.
kup,tone,hand made,"Tune, tone, sound, voice, word",taken by tone,k make + u deep + p struck. The deep struck quality.
him,chime,hand made,"Tune, tone, sound, voice, word",taken by nothing,h breath + i bright + m resonate. The bright ringing.
hum,urge,hand made,"Tune, tone, sound, voice, word",taken by urge,"h breath + u deep + m hum. The deep inner hum, the"
sam,sound,provisional,"Tune, tone, sound, voice, word",taken by sound,s + a + m hum. The heard hum.
voz,voice,provisional,"Tune, tone, sound, voice, word",taken by voice,v vibe + o + z active. The active vibe.
dat,word,provisional,"Tune, tone, sound, voice, word",taken by word,d define + a + t mark. The defined mark.
tip,beat / step,provisional,"Time, motion, place",taken by step,t step + i + p tap. The light discrete tap.
tiq,time,"derived, strong","Time, motion, place",taken by mental experience,t step + i + q continuum. The continuous stepping.
riq,motion,"derived, strong","Time, motion, place","in system, free",r move + i + q continuum. Continuous moving.
lok,place,provisional,"Time, motion, place",taken by place (space location),l locate + o + k fix. The fixed location.
ras,inside,provisional,"Time, motion, place",taken by in,r + a + s boundary. Within the boundary.
bam,create,provisional,"Create, persist, destroy, send, receive",taken by create,b bring-forth + a + m. Bring into being.
vix,persist,"derived, strong","Create, persist, destroy, send, receive",taken by preserve,v life + i + x hold-on. Keep being.
xiv,destroy,"derived, strong","Create, persist, destroy, send, receive",taken by destroy,the mirror of vix. Un-being.
bak,send,"derived, strong","Create, persist, destroy, send, receive",taken by send,b + a + k out. Cast outward.
kab,receive,"derived, strong","Create, persist, destroy, send, receive",taken by receive,the mirror of bak. Take inward.
luq,oneness / the All,"derived, strong","The whole, the field, the divine, light, sense",taken by question,l unbroken + u vast + q oneness. The deep
cuv,field,provisional,"The whole, the field, the divine, light, sense",taken by field (ether),c + u + v vibe. The permeating vibe-field.
gad,god / divine,provisional,"The whole, the field, the divine, light, sense",taken by god,"g source, great + a + d define. The great"
lit,light,provisional,"The whole, the field, the divine, light, sense",taken by light,l line + i bright + t. The bright line.
zox,sense,provisional,"The whole, the field, the divine, light, sense",taken by sense,z active + o + x perceive. The perceiving channel.
doq,rule / law,"derived, strong","The type layer (rule, action, object)","in system, free",d structure + o whole + q always. The immutable
kiq,action (function type),provisional,"The type layer (rule, action, object)",taken by action,"k do, kind + i + q. The doing-kind."
kaq,object (object type),provisional,"The type layer (rule, action, object)",taken by object,"k thing, kind + a + q. The thing-kind."
tuq,type,provisional,"The type layer (rule, action, object)",taken by type,t + u + q. The kind itself.
pas,space,provisional,A few more centers,taken by space,p + a open + s field. The open field.
vig,force / vigor,"derived, strong",A few more centers,taken by start,"v energy + i outward, active + g force,"
guj,memory,provisional,A few more centers,taken by memory,"g hold, store + u + j. The held groove of"
